CurveSurface,CurveType,Name,ID,Datum,Relative Curve,RiskMetrics Link,Term Interp,Time Interp,CurveUnit,Surface,
,Index,C01152710_NYSE_AGI_0,C01152710_NYSE_AGI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,8.799264,
,Index,C01165910_NYSE_ALK_0,C01165910_NYSE_ALK_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,47.33,
,Index,C01167P10_NASDAQ_ALSK_0,C01167P10_NASDAQ_ALSK_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,1.72,
,Index,C01234810_NYSE_AIN_0,C01234810_NYSE_AIN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,37.5,
,Index,C01242310_NASDAQ_AMRI_0,C01242310_NASDAQ_AMRI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,20.14,
,Index,C01265310_NYSE_ALB_0,C01265310_NYSE_ALB_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,63.85,
,Index,C01381710_NYSE_AA_0,C01381710_NYSE_AA_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,17.01,
,Index,C01390430_NYSE_ALU_0,C01390430_NYSE_ALU_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,3.4,
,Index,C01449110_NYSE_ALEX_0,C01449110_NYSE_ALEX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,40.58,
,Index,C01449J10_NYSE_ALR_0,C01449J10_NYSE_ALR_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,36.41,
,Index,C01527110_NYSE_ARE_0,C01527110_NYSE_ARE_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,79.77,
,Index,C01535110_NASDAQ_ALXN_0,C01535110_NASDAQ_ALXN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,164.16,
,Index,C01625510_NASDAQ_ALGN_0,C01625510_NASDAQ_ALGN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,55.58,
,Index,C01625910_NASDAQ_ALIM_0,C01625910_NASDAQ_ALIM_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,6.0,
,Index,C01643A10_NASDAQ_WTER_0,C01643A10_NASDAQ_WTER_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.12,
,Index,C01643P10_NASDAQ_AASP_0,C01643P10_NASDAQ_AASP_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,2.96,
,Index,C01643V10_NASDAQ_AAGC_0,C01643V10_NASDAQ_AAGC_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
