TripleID, SpotPrice
C11161T20_NASDAQ_BWEN,8.66
C11162130_NASDAQ_BRCD,10.41
C11246310_NYSE_BKD,34.5
C11258510_NYSE_BAM,47.03
C11434010_NASDAQ_BRKS,11.25
C11523610_NYSE_BRO,32.92
C11573610_NYSE_BWS,29.82
C11679410_NASDAQ_BRKR,21.0
C11704310_NYSE_BC,44.42
C11776U30_NASDAQ_BSQR,4.09
C11823010_NYSE_BPL,79.98
C12008R10_NASDAQ_BLDR,6.86
C12073840_NASDAQ_BZLFY,26.586
C12122010_NYSE_BKW,32.31
C12201710_NYSE_BURL,36.06
C12315910_NASDAQ_BZYR,0.1901
C12467B30_NYSE_CJES,28.05
C12476510_NYSE_CAE,12.41
C12480510_NYSE_CBZ,8.5
C12483010_NYSE_CBL,18.84
C12485720_NYSE_CBS,59.06
C12503M10_NASDAQ_CBOE,53.97
C12504G10_NYSE_IGR,9.13
C12504L10_NYSE_CBG,31.14
C12507110_NYSE_CDI,15.68
C12507E20_NASDAQ_CDEX,0.07
C12508A10_NASDAQ_CDII,0.0464
C12514110_NASDAQ_CECE,14.52
C12514G10_NASDAQ_CDW,31.64
C12526910_NYSE_CF,253.08
C12531Q10_NYSE_CGG,9.65
C12541W20_NASDAQ_CHRW,67.51
C12550910_NYSE_CI,96.01
C12558180_NYSE_CIT,48.21
C12561W10_NYSE_CNL,56.59
C12572Q10_NASDAQ_CME,75.935
C12589610_NYSE_CMS,30.54
C12590210_NASDAQ_CPICQ,0.0011
C12611710_NYSE_CNA,38.27
C12613210_NYSE_CEO,199.02
C12615310_NYSE_CPL,18.31
C12618T10_NASDAQ_CRAI,27.44
C12621E10_NYSE_CNO,17.45
C12626K20_NYSE_CRH,23.76
C12634910_NASDAQ_CSGS,27.34
C12640810_NYSE_CSX,31.19
C12642X10_NASDAQ_CTCM,9.59
C12646R10_NYSE_CST,34.91
C12648L10_NASDAQ_CTIC,2.48
C12650110_NYSE_CTS,17.8
C12660110_NASDAQ_CVV,13.8622
C12662P10_NYSE_CVI,50.54
C12663310_NYSE_UAN,15.26
C12663P10_NYSE_CVRR,24.11
C12665010_NYSE_CVS,81.4
C12673A10_NYSE_CYS,9.37
C12673P10_NASDAQ_CA,29.27
C12680430_NYSE_CAB,59.53
C12686C10_NYSE_CVC,19.13
C12705510_NYSE_CBT,54.4
C12709710_NYSE_COG,33.45
C12709P10_NASDAQ_CCMP,42.29
C12715030_NASDAQ_CACH,0.92
C12719030_NYSE_CACI,73.03
C12738710_NASDAQ_CDNS,17.95
C12753720_NASDAQ_CDZI,12.35
C12763910_NASDAQ_KDUS,1.6
C12763A10_NASDAQ_CSOC,4.0E-4
C12768610_NASDAQ_CZR,12.75
C12768T10_NASDAQ_CACQ,10.47
C12769A10_NASDAQ_PRSS,3.67
C12802T10_NYSE_DVR,0.801
C12803020_NASDAQ_CALM,81.04
C12811L10_NASDAQ_CHW,9.52
C12811R10_NASDAQ_CLMS,12.58
C12812610_NASDAQ_CAMP,19.86
C12824610_NASDAQ_CVGW,38.65
C12960310_NYSE_CCC,20.95
C13078810_NYSE_CWT,23.98
C13100M50_NYSE_CALX,10.52
C13119310_NYSE_ELY,7.63
C13123E50_NASDAQ_CALD,11.29
